epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.3133,3.85937,8.00662,1.42826,0.58374,0.1,0.0495,0.01889,2.73828,41.3306,0.92099,0.0001667,0.0001667,0.0001667
2,131.122,3.09891,3.98401,1.23677,0.0004,0.03333,0.00032,3e-05,4.33369,9.73547,1.1429,0.000343139,0.000343139,0.000343139
3,199.332,2.96499,2.91585,1.10207,0.03108,0.03333,0.01145,0.00368,3.43487,4.31905,0.99557,0.000512316,0.000512316,0.000512316
4,270.544,2.68997,2.74173,1.04775,0.13947,0.31429,0.04855,0.00772,3.75774,4.02358,1.00259,0.000674231,0.000674231,0.000674231
5,339.677,2.65519,2.78109,1.0463,0.94663,0.14286,0.22704,0.03322,3.61563,3.853,1.04531,0.000828886,0.000828886,0.000828886
6,408.599,2.60213,2.73852,1.03624,0.37987,0.17619,0.22678,0.06726,3.26397,7.78022,0.94609,0.000976279,0.000976279,0.000976279
7,477.552,2.55948,2.53854,1.04903,0.36771,0.52857,0.40638,0.1049,3.18349,4.9222,0.92588,0.00111641,0.00111641,0.00111641
8,547.519,2.51435,2.3449,1.01255,0.47247,0.52368,0.33387,0.09341,3.01757,3.30385,0.92349,0.00124928,0.00124928,0.00124928
9,623.547,2.59662,2.3561,1.02584,0.20563,0.17143,0.22946,0.08007,2.51597,2.41004,0.89601,0.00137489,0.00137489,0.00137489
10,705.113,2.57767,2.65801,1.05704,0.0757,0.7,0.23193,0.09658,2.34319,2.65459,0.88741,0.00136994,0.00136994,0.00136994
11,774.53,2.65963,2.25936,1.09432,0.07329,0.73333,0.24141,0.09135,2.61592,2.59077,0.90179,0.00133693,0.00133693,0.00133693
12,844.3,2.52739,1.97536,1.0494,0.6021,0.24286,0.32083,0.10376,2.99936,2.37608,0.90854,0.00130393,0.00130393,0.00130393
13,913.178,2.43194,1.92826,1.02093,0.62055,0.38571,0.32735,0.09891,2.99517,2.581,0.91068,0.00127092,0.00127092,0.00127092
14,982.087,2.51065,2.1781,1.05709,0.55534,0.45714,0.40466,0.17103,2.88853,2.7179,0.90409,0.00123791,0.00123791,0.00123791
15,1055.45,2.38661,1.83707,1.0533,0.68912,0.42837,0.57727,0.21247,2.47847,1.68719,0.87747,0.00120491,0.00120491,0.00120491
16,1125.22,2.40788,1.88548,0.98068,0.49923,0.3604,0.44138,0.16329,2.63616,1.85985,0.89584,0.0011719,0.0011719,0.0011719
17,1192.62,2.43033,1.76,0.99091,0.65186,0.31429,0.47921,0.2041,2.58513,1.7586,0.89811,0.00113889,0.00113889,0.00113889
18,1259.81,2.34664,1.71407,1.00241,0.77079,0.45714,0.50971,0.17929,2.51507,2.17357,0.88931,0.00110589,0.00110589,0.00110589
19,1327.05,2.43556,1.68989,0.98529,0.51603,0.38571,0.50086,0.17896,2.68659,2.11197,0.89532,0.00107288,0.00107288,0.00107288
20,1394.79,2.36646,1.78498,1.00463,0.63703,0.28095,0.31723,0.10701,3.31506,2.17104,0.90632,0.00103987,0.00103987,0.00103987
